0101	N.ITOH
0101	N.ITHH
0101	N.HTSH
0101	N.JIZH
0101	N.NRYH
0101	N.KNIH
0101	N.MNZH
0101	N.SZJH
0101	N.KWZH
0101	N.ST6H
0101	N.ST5H
0101	N.HD2H
0101	N.HDAH
0101	N.SMDH
0101	N.ODWH
0101	N.NMZH
0101	N.NS2H
0101	N.ASGH
0101	N.ST4H
0101	N.HRTH
0101	N.MIZH
0101	N.YKSH
0101	N.MTDH
0101	N.SSNH
0203	E.ARA2
0203	E.KAW
0203	E.ITOO
0203	E.FTO
0203	E.OKV
0203	E.IOB3
0203	E.IOB1
0203	E.IOB2
0203	E.HOK
0203	E.ATA
0203	EV.SNK
0203	EV.NMS
0203	EV.OS2
0203	EV.MBB
0203	EV.OKU
0203	EV.FJO
0207	NU.HED
0207	NU.MNI1
0301	KAMAT2
0301	AJIRO2
0301	ODAWA2
0301	IZUSIM
0301	OSHIM3
